,name,lat,lng
0,Новокосино,55.745113,37.864052
1,Новогиреево,55.752237,37.814587
2,Перово,55.75098,37.78422
3,Шоссе Энтузиастов,55.75809,37.751703
4,Авиамоторная,55.751933,37.717444
5,Площадь Ильича,55.747115,37.680726
6,Марксистская,55.740746,37.65604
7,Третьяковская,55.741125,37.626142
8,Ховрино,55.8777,37.4877
9,Беломорская,55.8651,37.4764
10,Речной вокзал,55.854152,37.476728
11,Водный стадион,55.838978,37.487515
12,Войковская,55.818923,37.497791
13,Сокол,55.805564,37.515245
14,Аэропорт,55.800441,37.530477
15,Динамо,55.789704,37.558212
16,Белорусская,55.777439,37.582107
17,Маяковская,55.769808,37.596192
18,Тверская,55.765343,37.603918
19,Театральная,55.758808,37.61768
20,Новокузнецкая,55.742391,37.62928
21,Павелецкая,55.729741,37.638693
22,Автозаводская,55.706634,37.657008
23,Технопарк,55.695,37.664167
24,Коломенская,55.677423,37.663719
25,Каширская,55.655745,37.649683
26,Кантемировская,55.636107,37.656218
27,Царицыно,55.620982,37.669612
28,Орехово,55.61269,37.695214
29,Домодедовская,55.610131,37.717111
30,Красногвардейская,55.614075,37.742697
31,Алма-Атинская,55.63349,37.765678
32,Медведково,55.888103,37.661562
33,Бабушкинская,55.870641,37.664341
34,Свиблово,55.855558,37.653379
35,Ботанический сад,55.844597,37.637811
36,ВДНХ,55.819626,37.640751
37,Алексеевская,55.807794,37.638699
38,Рижская,55.792494,37.636114
39,Проспект Мира,55.781827,37.633199
40,Сухаревская,55.772315,37.63285
41,Тургеневская,55.765371,37.636732
42,Китай-город,55.756498,37.631326
43,Третьяковская,55.74073,37.625624
44,Октябрьская,55.731232,37.612851
45,Шаболовская,55.718828,37.607892
46,Ленинский проспект,55.70678,37.58499
47,Академическая,55.687147,37.5723
48,Профсоюзная,55.677671,37.562595
49,Новые Черемушки,55.670077,37.554493
50,Калужская,55.656682,37.540075
51,Беляево,55.642357,37.526115
52,Коньково,55.631857,37.519156
53,Теплый Стан,55.61873,37.505912
54,Ясенево,55.606182,37.5334
55,Новоясеневская,55.601947,37.553017
56,Бульвар Рокоссовского,55.814916,37.732227
57,Черкизовская,55.802787,37.744863
58,Преображенская площадь,55.796322,37.713582
59,Сокольники,55.789282,37.679895
60,Красносельская,55.780014,37.666097
61,Комсомольская,55.774072,37.654565
62,Красные ворота,55.768307,37.6478
63,Чистые пруды,55.76499,37.638293
64,Лубянка,55.759889,37.625336
65,Охотный ряд,55.757228,37.615078
66,Библиотека им.Ленина,55.752123,37.610388
67,Кропоткинская,55.745297,37.604217
68,Парк культуры,55.736163,37.595027
69,Фрунзенская,55.727462,37.58022
70,Спортивная,55.722388,37.562041
71,Воробьевы горы,55.709169,37.557293
72,Университет,55.69329,37.534511
73,Проспект Вернадского,55.676549,37.504584
74,Юго-Западная,55.663146,37.482852
75,Тропарево,55.6459,37.4725
76,Румянцево,55.633,37.4419
77,Саларьево,55.6227,37.424
78,Филатов луг,55.5997,37.4075
79,Прокшино,55.5813,37.4425
80,Ольховая,55.5692,37.4589
81,Коммунарка,55.559765,37.468716
82,Щелковская,55.809962,37.798261
83,Первомайская,55.794376,37.799364
84,Измайловская,55.787713,37.779896
85,Партизанская,55.788401,37.74882
86,Семеновская,55.783096,37.719289
87,Электрозаводская,55.782057,37.7053
88,Бауманская,55.772405,37.67904
89,Площадь Революции,55.756741,37.62236
90,Курская,55.758564,37.659039
91,Арбатская,55.752312,37.60349
92,Смоленская,55.747713,37.583802
93,Киевская,55.743117,37.564132
94,Парк Победы,55.735679,37.516865
95,Славянский бульвар,55.729542,37.470973
96,Кунцевская,55.730673,37.446522
97,Молодежная,55.741375,37.415627
98,Крылатское,55.756842,37.408139
99,Строгино,55.803831,37.402405
100,Мякинино,55.823342,37.385214
101,Волоколамская,55.835154,37.382453
102,Митино,55.846098,37.36122
103,Пятницкое шоссе,55.853634,37.353108
104,Кунцевская,55.730815,37.446754
105,Пионерская,55.736027,37.466728
106,Филевский парк,55.739665,37.483902
107,Багратионовская,55.743544,37.497042
108,Фили,55.746763,37.514035
109,Кутузовская,55.740544,37.5341
110,Студенческая,55.738761,37.54842
111,Киевская,55.743168,37.565425
112,Смоленская,55.749083,37.582173
113,Арбатская,55.752122,37.601553
114,Александровский сад,55.752255,37.608775
115,Выставочная,55.750243,37.542641
116,Международная,55.748324,37.533282
117,Алтуфьево,55.899034,37.586473
118,Бибирево,55.883868,37.603011
119,Отрадное,55.864273,37.605066
120,Владыкино,55.848236,37.590451
121,Петровско-Разумовская,55.836565,37.575512
122,Тимирязевская,55.81866,37.574498
123,Дмитровская,55.808056,37.581734
124,Савёловская,55.794054,37.587163
125,Менделеевская,55.781999,37.599141
126,Цветной бульвар,55.771653,37.620466
127,Чеховская,55.765747,37.608493
128,Боровицкая,55.750399,37.60934
129,Полянка,55.736795,37.618594
130,Серпуховская,55.726548,37.624792
131,Тульская,55.70961,37.622569
132,Нагатинская,55.682099,37.620917
133,Нагорная,55.672962,37.610397
134,Нахимовский проспект,55.662379,37.605274
135,Севастопольская,55.651451,37.59809
136,Чертановская,55.640538,37.606065
137,Южная,55.622436,37.609047
138,Пражская,55.610962,37.602386
139,Улица Академика Янгеля,55.596753,37.601498
140,Аннино,55.583477,37.596999
141,Бульвар Дмитрия Донского,55.568201,37.576856
142,Планерная,55.859676,37.436808
143,Сходненская,55.84926,37.44076
144,Тушинская,55.825479,37.437024
145,Спартак,55.8182,37.4352
146,Щукинская,55.8094,37.463241
147,Октябрьское поле,55.793581,37.493317
148,Полежаевская,55.777201,37.517895
149,Беговая,55.773505,37.545518
150,Улица 1905 года,55.763944,37.562271
151,Баррикадная,55.760793,37.581242
152,Пушкинская,55.765607,37.604356
153,Кузнецкий мост,55.761498,37.624423
154,Китай-город,55.75436,37.633877
155,Таганская,55.739502,37.653605
156,Пролетарская,55.731546,37.666917
157,Волгоградский проспект,55.725546,37.685197
158,Текстильщики,55.709211,37.732117
159,Кузьминки,55.705493,37.763295
160,Рязанский проспект,55.716139,37.792694
161,Выхино,55.715983,37.816788
162,Лермонтовский проспект,55.702036,37.851044
163,Жулебино,55.684722,37.855833
164,Котельники,55.6743,37.8582
165,Новослободская,55.779606,37.601252
166,Проспект Мира,55.779584,37.633646
167,Комсомольская,55.775672,37.654772
168,Курская,55.758631,37.661059
169,Таганская,55.742396,37.653334
170,Павелецкая,55.731414,37.636294
171,Добрынинская,55.728994,37.622533
172,Октябрьская,55.729264,37.611049
173,Парк культуры,55.735221,37.593095
174,Киевская,55.74361,37.56735
175,Краснопресненская,55.760378,37.577114
176,Белорусская,55.775179,37.582303
177,Селигерская,55.86483,37.55005
178,Верхние Лихоборы,55.85566,37.56282
179,Окружная,55.848889,37.571111
180,Петровско-Разумовская,55.836667,37.575556
181,Фонвизинская,55.822778,37.588056
182,Бутырская,55.813333,37.602778
183,Марьина Роща,55.793723,37.61618
184,Достоевская,55.781667,37.613889
185,Трубная,55.76771,37.621926
186,Сретенский бульвар,55.766106,37.635688
187,Чкаловская,55.755951,37.659293
188,Римская,55.747027,37.679996
189,Крестьянская застава,55.732278,37.665325
190,Дубровка,55.71807,37.676259
191,Кожуховская,55.706156,37.68544
192,Печатники,55.692921,37.728338
193,Волжская,55.690446,37.754314
194,Люблино,55.676596,37.761639
195,Братиславская,55.658817,37.748415
196,Марьино,55.649158,37.743844
197,Борисово,55.6325,37.743333
198,Шипиловская,55.621667,37.743611
199,Зябликово,55.611944,37.745278
200,Каширская,55.654327,37.647705
201,Варшавская,55.653294,37.619522
202,Каховская,55.652923,37.596573
203,Бунинская аллея,55.537977,37.515899
204,Улица Горчакова,55.542281,37.532063
205,Бульвар Адмирала Ушакова,55.545207,37.542329
206,Улица Скобелевская,55.548103,37.552721
207,Улица Старокачаловская,55.569194,37.576074
208,Лесопарковая,55.581656,37.577816
209,Битцевский Парк,55.600066,37.556058
210,Деловой центр,55.7491,37.5395
211,Парк Победы,55.736478,37.514401
212,Минская,55.7232,37.5038
213,Ломоносовский проспект,55.7055,37.5225
214,Раменки,55.6961,37.505
215,Мичуринский проспект,55.6888,37.485
216,Озёрная,55.6698,37.4495
217,Говорово,55.6588,37.4174
218,Солнцево,55.649,37.3911
219,Боровское шоссе,55.647,37.3701
220,Новопеределкино,55.6385,37.3544
221,Рассказовка,55.6324,37.3328
222,Окружная,55.848889,37.571111
223,Владыкино,55.847222,37.591944
224,Ботанический сад,55.845556,37.640278
225,Ростокино,55.839444,37.667778
226,Белокаменная,55.83,37.700556
227,Бульвар Рокоссовского,55.817222,37.736944
228,Локомотив,55.803219,37.745742
229,Измайлово,55.788611,37.742778
230,Соколиная Гора,55.77,37.745278
231,Шоссе Энтузиастов,55.758633,37.748477
232,Андроновка,55.741111,37.734444
233,Нижегородская,55.732222,37.72825
234,Новохохловская,55.723889,37.716111
235,Угрешская,55.718333,37.697778
236,Дубровка,55.71268,37.677775
237,Автозаводская,55.70631,37.66314
238,ЗИЛ,55.698333,37.648333
239,Верхние Котлы,55.69,37.618889
240,Крымская,55.690038,37.605
241,Площадь Гагарина,55.706944,37.585833
242,Лужники,55.720278,37.563056
243,Кутузовская,55.740833,37.533333
244,Деловой центр,55.747222,37.532222
245,Шелепиха,55.7575,37.525556
246,Хорошево,55.777222,37.507222
247,Зорге,55.787778,37.504444
248,Панфиловская,55.799167,37.498889
249,Стрешнево,55.813611,37.486944
250,Балтийская,55.825833,37.496111
251,Коптево,55.839637,37.520037
252,Лихоборы,55.847222,37.551389
253,Тимирязевская,55.819049,37.578882
254,Улица Милашенкова,55.821876,37.591206
255,Телецентр,55.821795,37.608975
256,Улица Академика Королёва,55.821821,37.627167
257,Выставочный центр,55.824086,37.638494
258,Улица Эйзенштейна,55.829305,37.644997
259,Петровский парк,55.79233,37.55952
260,ЦСКА,55.78643,37.53502
261,Хорошевская,55.77643,37.51981
262,Шелепиха,55.75723,37.52571
263,Деловой центр,55.7491,37.5395
264,Савёловская,55.794054,37.587163
265,Электрозаводская,55.782057,37.7053
266,Мнёвники,55.761153,37.47139
267,Народное Ополчение,55.775278,39.484444
268,Терехово,55.749167,38.460556
269,Кунцевская,55.730278,37.445833
270,Давыдково,55.765278,37.451667
271,Аминьевская,55.697222,37.464167
272,Мичуринский проспект,55.688333,37.485
273,Проспект Вернадского,55.677778,37.505
274,Новаторская,55.670833,37.52
275,Воронцовская,55.658333,37.540833
276,Зюзино,55.489722,37.572222
277,Каховская,55.653056,37.598333
278,Косино,55.7026,37.8511
279,Улица Дмитриевского,55.7093,37.8792
280,Лухмановская,55.7078,37.9004
281,Некрасовка,55.7029,37.9264
282,Юго-Восточная,55.71,37.82
283,Окская,55.72,37.77
284,Стахановская,55.73,37.76
285,Нижегородская,55.73,37.73
286,Лефортово,55.764444,37.702778
287,Электрозаводская,55.782057,37.7053
288,Авиамоторная,55.751933,37.717444
289,Лобня,56.0048,37.29057
290,Шереметьевская,55.983882,37.498752
291,Хлебниково,55.970682,37.504638
292,Водники,55.953419,37.511143
293,Долгопрудная,55.938656,37.520542
294,Новодачная,55.924459,37.527877
295,Марк,55.904458,37.538242
296,Лианозово,55.897316,37.553261
297,Бескудниково,55.882713,37.567768
298,Дегунино,55.86586,37.573235
299,Окружная,55.848889,37.571111
300,Тимирязевская,55.81866,37.574498
301,Савёловская,55.793936,37.587038
302,Белорусская,55.775179,37.582303
303,Беговая,55.773505,37.545518
304,Тестовская,55.754292,37.531551
305,Фили,55.744263,37.514526
306,Кунцевская,55.730554,37.445591
307,Рабочий Посёлок,55.726957,37.415577
308,Сетунь,55.723713,37.397259
309,Немчиновка,55.715668,37.374611
310,Сколково,55.666801,37.424618
311,Баковка,55.682816,37.315205
312,Одинцово,55.67798,37.27773
313,Славянский бульвар,55.729722,37.470556
